id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
1_79,0.707182,0.4375,3.5,4.949747,0.513303,28.277793,0.4375,0.44,4.84,1.555635,0.085938,0.14843800000000001,0.023438,0.03125,0.054688,0.0,3.4375,1.220588,7.1666669999999995,5.16,1.388889,0.08,0.11111099999999999,0.04,0.055555999999999994,3.64,3.388889,5.055556,0.833333,3.557377,3.703297,4.6666669999999995,6.634483
1_81,0.639241,0.50495,3.588347,5.07469,0.564427,32.640308000000005,0.50495,0.666667,5.3333330000000005,1.6329930000000001,0.079208,0.19802,0.009901,0.06930700000000001,0.079208,0.0,4.0594059410000005,1.311927,4.391304,3.4827589999999997,1.2608700000000002,0.068966,0.086957,0.051724,0.065217,2.1034479999999998,5.304348,2.652174,0.130435,4.319672,4.901639,4.0,6.151899
1_83,0.706522,0.48461499999999996,3.9070940000000003,5.525466000000001,0.524242,34.186442,0.48461499999999996,0.68,11.56,2.404163,0.130769,0.11538499999999999,0.023077,0.046154,0.069231,0.0,3.669230769,1.280576,5.4583330000000005,4.2258059999999995,1.291667,0.06451599999999999,0.083333,0.0,0.0,2.354839,3.125,3.041667,0.333333,3.52,3.547945,3.75,7.312977
1_85,0.6845640000000001,0.490196,3.5007,4.950737999999999,0.558825,30.968365999999996,0.490196,0.583333,4.0833330000000005,1.428869,0.068627,0.156863,0.04902,0.068627,0.117647,0.0,3.7941176469999998,1.179245,5.6666669999999995,3.777778,1.5,0.037037,0.055555999999999994,0.0,0.0,1.185185,3.833333,1.7777779999999999,0.8888889999999999,4.188406,4.15625,3.9375,5.387097
1_87,0.714286,0.555556,4.409586,6.236096,0.54604,44.302239,0.552,0.782609,14.086957,2.653955,0.14400000000000002,0.16,0.024,0.055999999999999994,0.08,0.005714,3.7460317460000003,1.272727,7.352941,5.2083330000000005,1.411765,0.041667,0.058824,0.0,0.0,3.125,6.176471,4.411765,0.41176499999999994,3.8285709999999997,3.68,2.714286,6.3741010000000005
1_89,0.739796,0.510204,4.374089,6.185896,0.513744,39.962947,0.503448,0.722222,9.388889,2.166667,0.089655,0.137931,0.041379,0.055172000000000006,0.096552,0.0,3.482993197,1.201342,6.904762,5.8,1.190476,0.16,0.190476,0.0,0.0,3.72,6.380952,4.428571,0.6190479999999999,3.41791,3.7849459999999997,3.5384620000000004,6.686047
1_91,0.736318,0.459459,3.9524199999999996,5.5895660000000005,0.500386,33.028046999999994,0.459459,0.576923,8.653846000000001,2.080126,0.101351,0.128378,0.027027,0.047297000000000006,0.074324,0.0,3.75,1.24183,5.92,4.7741940000000005,1.24,0.06451599999999999,0.08,0.0,0.0,2.451613,5.2,3.04,0.48,3.623077,3.842105,3.916667,6.191781
1_93,0.785714,0.590909,3.9196470000000003,5.543219000000001,0.607669,42.813373,0.590909,0.666667,4.0,1.4142139999999999,0.068182,0.23863600000000001,0.056817999999999994,0.079545,0.136364,0.0,3.5340909089999997,1.2903229999999999,7.5,6.428571,1.166667,0.0,0.0,0.0,0.0,5.142857,4.0,6.0,2.25,3.770833,3.9305559999999997,3.777778,6.148148
1_95,0.706897,0.520325,4.080491,5.770686,0.5410020000000001,38.195676,0.520325,0.647059,7.117647,1.886484,0.089431,0.162602,0.04065,0.04065,0.081301,0.0,4.382113821,1.234848,5.590909,5.125,1.090909,0.041667,0.045455,0.0,0.0,3.333333,5.818182,3.636364,0.681818,4.960938,3.9375,3.666667,6.145455
1_97,0.7022470000000001,0.504,3.9844699999999995,5.6348910000000005,0.534624,36.143366,0.504,0.65,8.45,2.0554799999999998,0.10400000000000001,0.17600000000000002,0.04,0.024,0.064,0.011236,3.968,1.291045,5.952381,5.2083330000000005,1.142857,0.166667,0.190476,0.0625,0.07142899999999999,2.083333,7.619047999999999,2.380952,0.6190479999999999,4.01875,3.54,3.4615379999999996,5.821656
1_99,0.691667,0.566265,3.647907,5.158919999999999,0.609695,37.605497,0.566265,0.782609,14.086957,2.653955,0.216867,0.12048199999999999,0.048193,0.036145,0.084337,0.0,3.469879518,1.1222219999999998,5.6,4.421053,1.266667,0.157895,0.2,0.052632000000000005,0.06666699999999999,2.947368,2.266667,3.733333,0.13333299999999998,3.2647060000000003,4.303571,3.0,6.6666669999999995
2_1,0.789062,0.584158,4.151226,5.870719,0.585345,44.619458,0.584158,0.8,9.6,2.19089,0.11881199999999999,0.13861400000000001,0.059405999999999994,0.079208,0.13861400000000001,0.0,3.7623762380000003,1.294118,5.611111,5.05,1.111111,0.0,0.0,0.0,0.0,0.2,0.277778,0.22222199999999998,0.166667,3.8,4.0,4.0,4.571429
2_10,0.8598129999999999,0.645161,4.399413,6.22171,0.612516,55.184366000000004,0.641304,1.0,15.0,2.738613,0.163043,0.152174,0.054348,0.054348,0.108696,0.0,3.956989247,1.361702,7.75,7.75,1.0,0.0,0.0,0.0,0.0,0.416667,0.416667,0.416667,0.0,4.8,5.2,0.0,4.0
2_11,0.8264459999999999,0.653465,4.643744,6.567245,0.60144,59.5204,0.65,0.9444440000000001,16.055556,2.833333,0.17,0.15,0.02,0.07,0.09,0.008264,3.811881188,1.294118,11.111111,6.6666669999999995,1.666667,0.0,0.0,0.0,0.0,0.866667,1.111111,1.444444,0.44444399999999995,5.1,4.538462,3.75,7.076923
2_12,0.867925,0.673913,4.570701000000001,6.463947,0.620768,62.266574,0.673913,0.8888889999999999,7.111111,1.885618,0.086957,0.195652,0.065217,0.054348,0.119565,0.0,4.076086957,1.2934780000000001,10.222222,7.6666669999999995,1.333333,0.0,0.0,0.0,0.0,0.75,1.333333,1.0,0.22222199999999998,6.8333330000000005,6.222222,7.0,5.8333330000000005
2_13,0.872727,0.645833,4.474465,6.327849,0.607698,56.205314,0.645833,0.642857,5.785714,1.7008400000000001,0.09375,0.229167,0.072917,0.020833,0.09375,0.0,4.364583333,1.385417,10.666667,8.0,1.333333,0.0,0.0,0.0,0.0,0.5,1.333333,0.666667,0.333333,4.8333330000000005,4.1666669999999995,5.3333330000000005,5.75
